0.0,2.1553183817148823e-33
0.01,1.1602529956945087e-09
0.02,4.6410119734629074e-09
0.03,1.0442276905134403e-08
0.04,1.8564047743895302e-08
0.05,2.9006324424289013e-08
0.06,4.176910686180314e-08
0.07,5.685239495356914e-08
0.08,7.425618857766269e-08
0.09,9.398048759384911e-08
0.1,1.1602529184249398e-07
0.11,1.4039060114580157e-07
0.12,1.6707641530733328e-07
0.13,1.9608273411111316e-07
0.14,2.2740955732321033e-07
0.15,2.6105688469105115e-07
0.16,2.9702471594231796e-07
0.17,3.353130507871398e-07
0.18,3.75921888916223e-07
0.19,4.188512300017115e-07
0.2,4.641010736967846e-07
0.21,5.116714196363234e-07
0.22,5.615622674367723e-07
0.23,6.137736166943502e-07
0.24,6.683054669880097e-07
0.25,7.251578178780594e-07
0.26,7.843306689043774e-07
0.27,8.458240195900905e-07
0.28,9.096378694384439e-07
0.29,9.757722179342354e-07
0.3,1.0442270645431838e-06
0.31,1.1150024087136498e-06
0.32,1.1880982498728276e-06
0.33,1.2635145874312646e-06
0.34,1.3412514207800864e-06
0.35,1.4213087492924846e-06
0.36,1.5036865723205326e-06
0.37,1.5883848891999312e-06
0.38,1.675403699247738e-06
0.39,1.764743001759685e-06
0.4,1.8564027960157966e-06
0.41,1.9503830812760907e-06
0.42,2.0466838567804033e-06
0.43,2.1453051217521677e-06
0.44,2.24624687539617e-06
0.45,2.3495091168954605e-06
0.46,2.4550918454173365e-06
0.47,2.5629950601104507e-06
0.48,2.67321876010151e-06
0.49,2.7857629445016785e-06
0.5,2.9006276124029e-06
0.51,3.017812762877263e-06
0.52,3.137318394978669e-06
0.53,3.2591445077416816e-06
0.54,3.3832911001845564e-06
0.55,3.50975817130254e-06
0.56,3.638545720075814e-06
0.57,3.769653745465914e-06
0.58,3.903082246411749e-06
0.59,4.038831221837361e-06
0.6,4.1769006706481605e-06
0.61,4.3172905917267056e-06
0.62,4.460000983941621e-06
0.63,4.605031846139322e-06
0.64,4.752383177151067e-06
0.65,4.902054975784296e-06
0.66,5.054047240832077e-06
0.67,5.208359971068837e-06
0.68,5.364993165245674e-06
0.69,5.523946822099523e-06
0.7,5.685220940348674e-06
0.71,5.848815518687887e-06
0.72,6.014730555798789e-06
0.73,6.182966050341055e-06
0.74,6.353522000956434e-06
0.75,6.52639840626708e-06
0.76,6.701595264878107e-06
0.77,6.879112575376828e-06
0.78,7.058950336326542e-06
0.79,7.241108546277071e-06
0.8,7.425587203759588e-06
0.81,7.612386307281055e-06
0.82,7.801505855335158e-06
0.83,7.992945846396941e-06
0.84,8.186706278917023e-06
0.85,8.382787151333934e-06
0.86,8.581188462063653e-06
0.87,8.78191020950439e-06
0.88,8.984952392034598e-06
0.89,9.190315008016007e-06
0.9,9.397998055792668e-06
0.91,9.608001533683759e-06
0.92,9.82032543999584e-06
0.93,1.0034969773016845e-05
0.94,1.0251934531009602e-05
0.95,1.0471219712225637e-05
0.96,1.0692825314893477e-05
0.97,1.091675133722399e-05
0.98,1.1142997777408177e-05
0.99,1.1371564633622808e-05
1.0,1.1602451904018023e-05
1.01,1.1835659586731993e-05
1.02,1.2071187679881918e-05
1.03,1.230903618156861e-05
1.04,1.2549205089867104e-05
1.05,1.2791694402841926e-05
1.06,1.3036504118534159e-05
1.07,1.328363423496732e-05
1.08,1.3533084750144964e-05
1.09,1.378485566205686e-05
1.1,1.4038946968665358e-05
1.11,1.4295358667921519e-05
1.12,1.4554090757757773e-05
1.13,1.4815143236080114e-05
1.14,1.507851610078349e-05
1.15,1.5344209349741546e-05
1.16,1.561222298081186e-05
1.17,1.5882556991825327e-05
1.18,1.6155211380603393e-05
1.19,1.6430186144943437e-05
1.2,1.6707481282625452e-05
1.21,1.69870967914093e-05
1.22,1.7269032669041663e-05
1.23,1.7553288913240746e-05
1.24,1.7839865521714385e-05
1.25,1.812876249215176e-05
1.26,1.841997982221475e-05
1.27,1.8713517509555037e-05
1.28,1.900937555180568e-05
1.29,1.9307553946572223e-05
1.3,1.9608052691451716e-05
1.31,1.9910871784015095e-05
1.32,2.0216011221822067e-05
1.33,2.052347100240304e-05
1.34,2.083325112327874e-05
1.35,2.114535158195124e-05
1.36,2.1459772375894632e-05
1.37,2.1776513502573494e-05
1.38,2.2095574959433787e-05
1.39,2.2416956743893244e-05
1.4,2.2740658853361936e-05
1.41,2.306668128522487e-05
1.42,2.3395024036849888e-05
1.43,2.3725687105584466e-05
1.44,2.4058670488760608e-05
1.45,2.4393974183693304e-05
1.46,2.473159818766883e-05
1.47,2.5071542497964683e-05
1.48,2.54138071118397e-05
1.49,2.575839202652384e-05
1.5,2.610529723924019e-05
1.51,2.6454522747186288e-05
1.52,2.6806068547542666e-05
1.53,2.7159934637469356e-05
1.54,2.751612101411468e-05
1.55,2.787462767459591e-05
1.56,2.8235454616022155e-05
1.57,2.859860183548026e-05
1.58,2.8964069330041974e-05
1.59,2.9331857096749474e-05
1.6,2.9701965132637003e-05
1.61,3.0074393434720187e-05
1.62,3.044914199998486e-05
1.63,3.0826210825411015e-05
1.64,3.120559990795253e-05
1.65,3.158730924454641e-05
1.66,3.1971338832109e-05
1.67,3.2357688667545545e-05
1.68,3.274635874772921e-05
1.69,3.3137349069525866e-05
1.7,3.353065962977883e-05
1.71,3.3926290425316636e-05
1.72,3.432424145293733e-05
1.73,3.4724512709433924e-05
1.74,3.512710419157286e-05
1.75,3.553201589610381e-05
1.76,3.593924781975568e-05
1.77,3.6348799959246744e-05
1.78,3.6760672311262374e-05
1.79,3.717486487248136e-05
