Freq [GHz],78 GHz,100 GHz,140 GHz
190,9.80354E-06,4.30376E-06,0.001104831
191,1.04331E-05,1.57751E-06,0.000351278
192,1.11249E-05,1.54152E-07,2.71713E-05
193,1.1887E-05,9.56139E-08,1.36053E-05
194,1.27301E-05,6.40946E-07,7.74073E-05
195,1.36652E-05,1.28394E-06,0.000136605
196,1.47051E-05,1.84666E-06,0.000177079
197,1.58641E-05,2.29529E-06,0.000201087
198,1.71592E-05,2.64124E-06,0.000213201
199,1.86097E-05,2.90423E-06,0.0002172
200,2.02388E-05,3.10267E-06,0.000215817
201,2.2073E-05,3.25117E-06,0.000210938
202,2.41441E-05,3.36183E-06,0.00020389
203,2.64896E-05,3.44284E-06,0.000195527
204,2.91536E-05,3.50098E-06,0.000186462
205,3.21893E-05,3.54128E-06,0.0001771
206,3.56598E-05,3.5676E-06,0.000167715
207,3.96409E-05,3.58284E-06,0.00015849
208,4.42245E-05,3.58932E-06,0.000149539
209,4.95216E-05,3.58864E-06,0.00014093
210,5.56674E-05,3.58209E-06,0.000132706
211,6.28277E-05,3.57063E-06,0.000124878
212,7.12061E-05,3.55496E-06,0.000117451
213,8.10551E-05,3.53564E-06,0.000110418
214,9.26886E-05,3.513E-06,0.000103767
215,0.0001065,3.48744E-06,9.74821E-05
216,0.000122986,3.45915E-06,9.15455E-05
217,0.000142776,3.42842E-06,8.59407E-05
218,0.000166676,3.39547E-06,8.06512E-05
219,0.000195723,3.36051E-06,7.56611E-05
220,0.000231274,3.32384E-06,7.0956E-05
221,0.000275099,3.28563E-06,6.65223E-05
222,0.000329542,3.24619E-06,6.23468E-05
223,0.000397755,3.20575E-06,5.84171E-05
224,0.000483982,3.16445E-06,5.47209E-05
225,0.000594058,3.12247E-06,5.12453E-05
226,0.000736064,3.07981E-06,4.79772E-05
227,0.000921384,3.03645E-06,4.49033E-05
228,0.001166291,2.99221E-06,4.20089E-05
229,0.001494456,2.94665E-06,3.92788E-05
230,0.001940966,2.89919E-06,3.66959E-05
231,0.002558913,2.84894E-06,3.42424E-05
232,0.003430632,2.79458E-06,3.1898E-05
233,0.004687087,2.73419E-06,2.96393E-05
234,0.00654303,2.66509E-06,2.74384E-05
235,0.00936273,2.58335E-06,2.52609E-05
236,0.013788396,2.48302E-06,2.30609E-05
237,0.021002386,2.35515E-06,2.07635E-05
238,0.033290922,2.18543E-06,1.82788E-05
239,0.055298815,1.95097E-06,1.54795E-05
240,0.096859756,1.61625E-06,1.21638E-05
241,0.17863894,1.13802E-06,8.12284E-06
242,0.335900226,5.32684E-07,3.60556E-06
243,0.574574612,1.32384E-07,8.49594E-07
244,0.743626826,5.57698E-07,3.39285E-06
245,0.715348883,1.46584E-06,8.45193E-06
246,0.612519108,2.08782E-06,1.14068E-05
247,0.531400177,2.34301E-06,1.21266E-05
248,0.486351417,2.36489E-06,1.15916E-05
249,0.47107495,2.23733E-06,1.03826E-05
250,0.478904137,1.99524E-06,8.76355E-06
251,0.504706522,1.65408E-06,6.87378E-06
252,0.542912554,1.2349E-06,4.85365E-06
253,0.585124024,7.87548E-07,2.92636E-06
254,0.619320207,4.02858E-07,1.41458E-06
255,0.633210105,1.91155E-07,6.33979E-07
256,0.620948728,2.23786E-07,7.00641E-07
257,0.586613533,4.8947E-07,1.44574E-06
258,0.540044205,9.14701E-07,2.54696E-06
259,0.489892206,1.41984E-06,3.72363E-06
260,0.439992096,1.95667E-06,4.82778E-06
261,0.389605666,2.51666E-06,5.83348E-06
262,0.335778527,3.12582E-06,6.79343E-06
263,0.276863288,3.83717E-06,7.79727E-06
264,0.215573561,4.72862E-06,8.94608E-06
265,0.15840002,5.93298E-06,1.03782E-05
266,0.111226252,7.78259E-06,1.24295E-05
267,0.076063985,1.14343E-05,1.62603E-05
268,0.051559877,2.27696E-05,2.83437E-05
269,0.035082788,1.26036E-05,5.50077E-05
270,0.024147606,1.27026E-08,2.89606E-08
271,0.016877128,1.03466E-06,1.80903E-06
272,0.01199704,2.10488E-06,3.20908E-06
273,0.008675861,2.93848E-06,4.05511E-06
274,0.006379568,3.62019E-06,4.59151E-06
275,0.004765955,4.21251E-06,4.94711E-06
276,0.003613765,4.75397E-06,5.19061E-06
277,0.002778334,5.26886E-06,5.36085E-06
278,0.002164213,5.77302E-06,5.48112E-06
279,0.001706161,6.27838E-06,5.56677E-06
280,0.00136012,6.79473E-06,5.62838E-06
281,0.001095557,7.32996E-06,5.67345E-06
282,0.000891011,7.89217E-06,5.70766E-06
283,0.00073121,8.48755E-06,5.73449E-06
284,0.000605145,9.12318E-06,5.75746E-06
285,0.000504789,9.80222E-06,5.7759E-06
286,0.000424212,1.0534E-05,5.79375E-06
287,0.000358996,1.13239E-05,5.81119E-06
288,0.000305816,1.21781E-05,5.8287E-06
289,0.000262145,1.31024E-05,5.84629E-06
290,0.000226036,1.41033E-05,5.86381E-06
291,0.000196,1.51871E-05,5.88096E-06
292,0.000170859,1.63611E-05,5.89766E-06
293,0.000149703,1.76325E-05,5.91346E-06
294,0.000131802,1.90074E-05,5.92747E-06
295,0.000116577,2.04947E-05,5.93941E-06
296,0.000103569,2.20985E-05,5.9476E-06
297,9.24034E-05,2.38349E-05,5.95321E-06
298,8.27772E-05,2.57124E-05,5.95521E-06
299,7.44443E-05,2.77537E-05,5.95599E-06
300,6.72021E-05,2.99561E-05,5.95131E-06
