0.000000E+0	2.962067E+0	1.295699E-2
2.000000E+3	3.523712E+0	1.173471E-2
4.000000E+3	4.144578E+0	1.735260E-2
6.000000E+3	4.692240E+0	1.969838E-2
8.000000E+3	5.095819E+0	1.518163E-2
1.000000E+4	5.445394E+0	1.696448E-2
1.200000E+4	5.708843E+0	2.348231E-2
1.400000E+4	5.875683E+0	1.088780E-2
1.600000E+4	5.839510E+0	1.088944E-2
1.800000E+4	5.771284E+0	3.458549E-2
2.000000E+4	5.519636E+0	1.018880E-2
2.200000E+4	5.217377E+0	2.724517E-2
2.400000E+4	4.757317E+0	1.975643E-2
2.600000E+4	4.250007E+0	2.117597E-2
2.800000E+4	3.704116E+0	1.573185E-2
3.000000E+4	3.089709E+0	1.779036E-2
3.200000E+4	2.512493E+0	1.116905E-2
3.400000E+4	1.925615E+0	7.351771E-3
3.600000E+4	1.444272E+0	1.395554E-2
3.800000E+4	9.552977E-1	1.585801E-2
4.000000E+4	6.034616E-1	1.888759E-2
4.200000E+4	3.505453E-1	1.075881E-2
4.400000E+4	1.988860E-1	2.052657E-2
4.600000E+4	1.940415E-1	1.392619E-2
4.800000E+4	2.821428E-1	5.488290E-3
5.000000E+4	5.224887E-1	1.096344E-2
5.200000E+4	8.402719E-1	1.154344E-2
5.400000E+4	1.303978E+0	6.822693E-3
5.600000E+4	1.793459E+0	1.150515E-2
5.800000E+4	2.374526E+0	1.160995E-2
6.000000E+4	2.969386E+0	7.068778E-3
6.200000E+4	3.609088E+0	1.389121E-2
6.400000E+4	4.133206E+0	1.471591E-2
6.600000E+4	4.675782E+0	1.244126E-2
6.800000E+4	5.128481E+0	9.352561E-3
7.000000E+4	5.503588E+0	1.599440E-2
