2019_05_08_14_44_44	202.87	0.0	
2019_05_08_14_44_45	202.85154	0.0	
2019_05_08_14_44_46	202.8505	0.0	
2019_05_08_14_44_46	202.85011	0.0	
2019_05_08_14_44_47	202.84804	0.0	
2019_05_08_14_44_47	202.84674	0.0	
2019_05_08_14_44_48	1997.2	0.0	
2019_05_08_14_44_48	1997.2	0	
2019_05_08_14_44_48	1997.2	1	
2019_05_08_14_44_48	1997.2	2	
2019_05_08_14_44_49	1996.6387	2	
2019_05_08_14_44_50	1996.6387	2	
2019_05_08_14_44_51	282.62334	2	
2019_05_08_14_44_51	282.62334	2	
2019_05_08_14_44_51	282.62334	2	
2019_05_08_14_44_51	282.62334	2	
2019_05_08_14_44_51	282.62334	2	
2019_05_08_14_44_51	282.62334	2	
2019_05_08_14_44_52	282.62334	2	
2019_05_08_14_44_52	282.62334	2	
2019_05_08_14_44_52	282.62334	2	
2019_05_08_14_44_52	282.62334	2	
2019_05_08_14_44_52	282.62334	2	
2019_05_08_14_44_52	282.62334	2	
2019_05_08_14_44_53	282.62334	2	
2019_05_08_14_44_53	282.62334	2	
2019_05_08_14_44_53	282.62334	2	
2019_05_08_14_44_53	282.62334	2	
