2019_05_08_16_44_49	164668.83	0.1	
2019_05_08_16_44_51	171309.71	0	3233.477 mk
2019_05_08_16_44_52	171595.59	1	3234.663 mk
2019_05_08_16_44_53	171731.37	2	3232.685 mk
2019_05_08_16_44_54	171479.31	3	3235.099 mk
2019_05_08_16_44_55	170697.91	4	3232.919 mk
2019_05_08_16_44_56	169195.45	5	3236.994 mk
2019_05_08_16_44_57	166877.77	6	3228.204 mk
2019_05_08_16_44_58	163540.42	7	3231.130 mk
2019_05_08_16_44_59	159070.51	8	3230.144 mk
2019_05_08_16_45_00	153823.85	9	3225.723 mk
2019_05_08_16_45_01	147226.41	10	3231.159 mk
2019_05_08_16_45_02	139570.27	11	3233.235 mk
2019_05_08_16_45_03	102195.64	12	3229.119 mk
2019_05_08_16_45_04	95871.028	13	3226.383 mk
2019_05_08_16_45_05	89443.435	14	3225.677 mk
2019_05_08_16_45_06	82231.237	15	3232.908 mk
2019_05_08_16_45_07	74622.238	16	3224.823 mk
2019_05_08_16_45_08	66368.611	17	3218.894 mk
2019_05_08_16_45_09	59028.006	18	3219.074 mk
2019_05_08_16_45_09	52356.777	19	3227.801 mk
2019_05_08_16_45_10	46096.208	20	3223.162 mk
2019_05_08_16_45_11	41185.853	21	3224.059 mk
2019_05_08_16_45_12	37032.153	22	3225.506 mk
2019_05_08_16_45_13	33744.598	23	3217.713 mk
2019_05_08_16_45_14	31071.318	24	3219.356 mk
2019_05_08_16_45_15	29184.079	25	3219.670 mk
2019_05_08_16_45_16	27153.106	0.1	3225.666 mk
2019_05_08_16_45_17	26848.968	0.1	3227.198 mk
2019_05_08_16_45_18	27046.044	0.1	3221.959 mk
2019_05_08_16_45_18	27537.26	0.1	3223.945 mk
2019_05_08_16_45_19	28383.905	0.1	3227.552 mk
2019_05_08_16_45_20	29572.811	0.1	3228.667 mk
2019_05_08_16_45_20	30587.658	0.1	3222.607 mk
2019_05_08_16_45_21	31176.775	0.1	3227.854 mk
2019_05_08_16_45_22	31620.478	0.1	3221.237 mk
2019_05_08_16_45_22	32022.026	0.1	3225.134 mk
2019_05_08_16_45_23	32361.325	0.1	3225.595 mk
2019_05_08_16_45_24	32700.849	0.1	3224.714 mk
2019_05_08_16_45_24	32981.277	0.1	3222.165 mk
2019_05_08_16_45_25	33269.282	0.1	3225.718 mk
2019_05_08_16_45_26	33510.31	0.1	3219.643 mk
