2019_05_08_14_58_11	202.50	0.0	
2019_05_08_14_58_13	202.50396	0.0	391.455 mk
2019_05_08_14_58_13	202.50448	0.0	391.470 mk
2019_05_08_14_58_14	202.5037	0.0	391.451 mk
2019_05_08_14_58_15	202.50318	0.0	391.474 mk
2019_05_08_14_58_15	202.50357	0.0	391.461 mk
2019_05_08_14_58_16	202.50331	0.0	391.468 mk
2019_05_08_14_58_17	202.50331	0.0	391.428 mk
2019_05_08_14_58_18	202.50292	0.0	391.430 mk
2019_05_08_14_58_18	202.50305	0.0	391.401 mk
2019_05_08_14_58_19	202.50344	0.0	391.443 mk
2019_05_08_14_58_20	202.50357	0.0	391.436 mk
2019_05_08_14_58_20	202.50357	0.0	391.436 mk
2019_05_08_14_58_21	202.50266	0.0	391.472 mk
2019_05_08_14_58_22	202.50215	0.0	391.457 mk
2019_05_08_14_58_23	202.50215	0.0	391.441 mk
2019_05_08_14_58_23	202.50253	0.0	391.416 mk
2019_05_08_14_58_24	202.50228	0.0	391.409 mk
2019_05_08_14_58_25	202.50137	0.0	391.438 mk
2019_05_08_14_58_26	202.50215	0.0	391.453 mk
2019_05_08_14_58_26	202.50085	0.0	391.470 mk
2019_05_08_14_58_27	202.50098	0.0	391.493 mk
2019_05_08_14_58_28	202.50137	0.0	391.493 mk
2019_05_08_14_58_29	202.50111	0.0	391.472 mk
2019_05_08_14_58_29	1997.7614	0.0	391.401 mk
2019_05_08_14_58_30	1998.1447	0	391.501 mk
2019_05_08_14_58_31	1998.0771	1	391.428 mk
2019_05_08_14_58_32	1998.0252	2	391.426 mk
2019_05_08_14_58_33	1997.9966	2	391.407 mk
2019_05_08_14_58_34	1997.9849	2	391.445 mk
2019_05_08_14_58_35	1997.9732	2	391.426 mk
2019_05_08_14_58_36	1997.9641	2	391.426 mk
2019_05_08_14_58_36	1997.9563	2	391.457 mk
2019_05_08_14_58_37	1997.9472	2	391.447 mk
2019_05_08_14_58_38	1997.9446	2	391.394 mk
2019_05_08_14_58_39	1997.9433	2	391.441 mk
2019_05_08_14_58_40	1997.9381	2	391.449 mk
2019_05_08_14_58_41	1997.9355	2	391.438 mk
2019_05_08_14_58_42	1997.9368	2	391.388 mk
2019_05_08_14_58_43	1997.9355	2	391.434 mk
2019_05_08_14_58_44	1997.9329	2	391.466 mk
2019_05_08_14_58_44	1997.9303	2	391.415 mk
2019_05_08_14_58_45	1997.9277	2	391.413 mk
2019_05_08_14_58_46	1997.9277	2	391.457 mk
2019_05_08_14_58_47	1997.6717	2	391.464 mk
2019_05_08_14_58_48	203.856	2	391.476 mk
